location,rating,ground_truth,model_prediction,text,final_text
Batam Centre Ferry Terminal,1 bintang,NEGATIF,NETRAL,PERINGATAN: Bawalah bagasi Anda sendiri dari kapal kecuali Anda punya waktu luang 1 jam untuk menunggu. Kru darat tidak bisa diandalkan :(,ingat bawa sendiri punya luang tunggu kru darat andal
Batam Centre Ferry Terminal,5 bintang,POSITIF,NETRAL,"Ini pertama kalinya saya ke sini... Pertama dan terpenting, pusat terminal ini jauh lebih terorganisir daripada Stulang Berjaya Waterfront, Johor Bharu. Terminal ini lebih mirip bandara dan saya suka suasananya. Bagus sekali Batam... teruskan kerja bagusnya...

Karena pengalaman buruk di Stulang Berjaya Waterfront, saya tidak akan pernah naik feri lagi. Bukan dari Malaysia. Tapi kembali dari Batam melalui terminal ini, itu bisa menjadi salah satu pilihan yang bagus...

Secara keseluruhan, saya bisa datang ke sini lagi...",pertama kali pertama penting pusat jauh organisir stulang jaya waterfront johor bharu mirip bandara suka suasana bagus terus bagus alam buruk stulang jaya waterfront lalu jadi pilih bagus seluruh
Batam Centre Ferry Terminal,5 bintang,POSITIF,NETRAL,"Pelabuhan terbaik, orang-orang terbaik, pemandangan terbaik!!!

Mantap!!! Ramah juga untuk penyandang disabilitas..dan tentu saja kapal feri terbaik!

Semoga Indonesia & Singapura selalu menyenangkan!

Dini Probojati",baik baik pandang baik mantap ramah sandang disabilitas baik moga senang dini probojati
Batam Centre Ferry Terminal,5 bintang,POSITIF,NETRAL,Infrastruktur dibangun dengan sangat baik.,infrastruktur bangun baik
Batam Centre Ferry Terminal,2 bintang,NEGATIF,NETRAL,"Tempatnya bagus, tapi sopir taksinya buruk. Tidak sopan dan kasar.",bagus sopir taksi buruk sopan kasar
Batam Centre Ferry Terminal,4 bintang,POSITIF,NETRAL,Perlu perawatan lebih lanjut,awat lanjut
Batam Centre Ferry Terminal,1 bintang,NEGATIF,NETRAL,"KEMUNGKINAN TINDAKAN PENYUAPAN/KORUPSI

Jadi Jumat lalu (21/2/2025), kami bertiga (ibu, saudara laki-laki, dan saya) sedang berlibur akhir pekan ke Batam.

Kami tiba di Terminal Feri Batam Center pukul 9 pagi waktu setempat. Saat mengantre untuk pemeriksaan paspor, saya sedang mengatur roaming untuk mengisi Visa of Arrival (VOA). Di sana, saya dipanggil oleh seorang petugas imigrasi ke kantornya dan ponsel ibu saya dan saya, bersama dengan paspor saya, diambil oleh petugas imigrasi tersebut. Kemudian, dia menyuruh saya menunggu di luar kantornya (saat itu pukul 9.30 pagi waktu Batam). Kira-kira setelah 20-30 menit, dia keluar dari ruang kantornya untuk melayani petugas lain, tetapi ketika dia melihat saya, dia bertanya ""kamu ngapain di sini?"" dua kali karena saya benar-benar tidak tahu apa-apa. Kemudian saya mengatakan kepadanya bahwa ponsel dan paspor saya diambil olehnya. Dia kemudian dengan kasar berkata kepada saya ""ha tahu pun kamu, kamu tahu tidak apa salahmu?"" Saya menjawab, “Saya tadi sedang mengatur layanan roaming saya untuk mengisi VOA saya”. Kemudian, dia memberi tahu saya bahwa roaming dapat dilakukan setelah imigrasi di luar. Saya kemudian hanya diam dan mengangguk pelan. Dia kemudian kembali ke ruangannya dan menghilang entah berapa jam. Sambil menunggu tindakannya, saya hanya duduk di kursi, tidak memprovokasi atau meminta pembebasan karena saya percaya dia hanya melakukan pekerjaannya. Kemudian, ada seorang pria duduk tepat di sebelah saya bertanya apa yang terjadi. Saya mengatakan kepadanya bahwa paspor dan ponsel saya diambil oleh petugas. Dia kemudian dengan lembut mengatakan bahwa dia dapat menawarkan bantuan. Karena curiga dengan tawaran itu (saya merasa bahwa bantuannya disertai dengan uang tip/uang sampingan, saya menjawabnya “Tidak, Papa. Aku tunggu saja”). Pria itu kemudian meninggalkan saya dan pergi menemui pelanggar lain (tidak secara langsung tetapi secara berkala dia akan masuk ke ruangan).

Perlu diingat bahwa selama saya menunggu, ada banyak pelanggar setelah saya yang dibebaskan dalam waktu kurang dari 10 menit menunggu (salah satunya langsung bersama pria yang menawarkan bantuan kepada saya).

Singkat cerita, saya ditahan di ruang tunggu, dari jam 9 pagi sampai 1.30 siang. Saat hendak dibebaskan, petugas wanita itu menyuruh saya untuk tidak menggunakan telepon lagi sambil menunggu pemeriksaan imigrasi. Karena frustrasi ditahan begitu lama tanpa telepon dan paspor, saya menjawabnya dengan satu kata, ""mungkin"". Dia marah dan langsung menolak masuk saya. Saya bilang padanya, ""Tidak apa-apa. Kirim saja saya kembali ke Malaysia karena saya sudah lelah secara mental dan fisik karena menunggu.""

Sambil menunggu feri kembali, dia datang kepada saya dan meminta saya untuk menelepon keluarga saya. Rupanya, ketika petugas feri memberi tahu ibu saya bahwa saya akan dipulangkan karena perilaku ""tidak sopan"", ibu saya menanyakan nama petugas wanita itu kepada petugas feri, dan ingin melaporkannya karena tuduhan yang salah. Saya dituduh bermain ponsel meskipun sudah dua kali diperingatkan oleh petugas lain (padahal, saya sama sekali tidak diperingatkan atas pelanggaran tersebut). Kemudian dia mengizinkan saya masuk setelah mendengar bahwa ibu saya ingin melaporkannya atas kemungkinan tindakan korupsi dan salah tafsir (karena pukul 11.30 pagi waktu Batam, ibu saya masuk ke ruang tunggu untuk menemui saya, dan saya mengatakan kepadanya bahwa ada seorang pria lokal yang menawarkan bantuan kepada saya). Foto terakhir adalah pria yang menawarkan bantuan kepada saya, sedang berbincang dengan petugas wanita tersebut.

Postingan ini bukan untuk menuduh petugas tersebut melakukan tindakan korupsi, tetapi agar pengunjung lebih waspada terhadap kejadian ""pemeriksaan acak/penggunaan ponsel saat di imigrasi"" yang sering terjadi. Juga, agar pihak berwenang menyelidiki keberadaan pria yang menawarkan bantuan kepada saya di kantor Imigrasi Batam Center Ferry. Mengapa dia berada di kantor hampir sepanjang waktu? Juga kepada Ibu Cia, Anda telah membuat saya menunggu selama 4 jam seperti orang bodoh, dan Anda tidak pantas mendapatkan rasa hormat saya.",mungkin tindak suap korupsi jumat tiga ibu saudara laki laki libur pekan tiba pukul pagi tempat antre periksa atur roaming isi arrival voa panggil orang tugas imigrasi kantor ponsel ibu sama ambil tugas imigrasi sebut kemudian suruh tunggu kantor pukul pagi kira kira kantor layan tugas lihat tanya kamu ngapain tahu kemudian kata kepada ponsel ambil oleh kemudian kasar kata ha tahu kamu kamu tahu salah jawab tadi atur layan roaming isi voa kemudian beri tahu roaming laku imigrasi kemudian diam angguk pelan kemudian ruang hilang entah berapa tunggu tindak duduk kursi provokasi minta bebas percaya laku kerja kemudian orang pria duduk tepat belah tanya jadi kata kepada ponsel ambil tugas kemudian lembut kata tawar bantu curiga tawar rasa bantu serta tip samping jawab papa pria kemudian tinggal temu langgar langsung kala ruang ingat lama tunggu langgar bebas kurang tunggu satu langsung sama pria tawar bantu singkat cerita tahan pagi siang hendak bebas tugas wanita suruh guna telepon tunggu periksa imigrasi frustrasi tahan lama telepon jawab kata marah langsung tolak bilang pada kirim lelah mental fisik tunggu tunggu minta telepon keluarga rupa tugas beri tahu ibu pulang perilaku sopan ibu tanya nama tugas wanita tugas lapor tuduh tuduh main ponsel ingat tugas sama ingat langgar sebut kemudian izin dengar ibu lapor mungkin tindak korupsi tafsir pukul pagi ibu temu kata kepada orang pria lokal tawar bantu foto akhir pria tawar bantu bincang tugas wanita sebut postingan tuduh tugas sebut laku tindak korupsi unjung waspada jadi periksa acak guna ponsel imigrasi jadi pihak wenang selidik ada pria tawar bantu kantor imigrasi ada kantor hampir panjang ibu cia buat tunggu lama bodoh pantas dapat rasa hormat
Batam Centre Ferry Terminal,1 bintang,NEGATIF,NETRAL,"28.07.2024

Singkatnya - PANAS. HARGA/TAKSI PENIPUAN. Tidak higienis.
Tempat ini sangat panas. Saya makan siang di sini, dan sayangnya, panasnya membuat saya kehilangan kesabaran. Pintu masuknya, yang dekat dengan kamar mandi, sangat bau dan tidak nyaman saat saya menunggu untuk masuk.
😖😖😖😖 Mengapa harga di dalam tempat ini sangat mahal?

Di luar, semua sopir taksi terus memaksa kami untuk naik taksi mereka, dan mengenakan biaya 100 ribu untuk perjalanan 3 km terasa seperti penipuan. Salut untuk sopir penipu ini—saya sudah menyimpan nomor kontaknya.",singkat panas harga tipu higienis panas makan siang sayang panas buat hilang sabar pintu masuk dekat kamar mandi bau nyaman tunggu harga mahal sopir paksa kena biaya ribu jalan km asa tipu salut sopir tipu simpan nomor kontak
Batam Centre Ferry Terminal,4 bintang,POSITIF,NETRAL,Selamat menikmati!,selamat nikmat
Batam Centre Ferry Terminal,1 bintang,NEGATIF,NETRAL,"Terminal feri yang berantakan. Ohh, tolonglah. Bongkar dan bangun kembali yang baru dengan standar internasional. Para pelancong harap berhati-hati karena tidak ada lift dan naik dengan bagasi berat serta turun menggunakan tangga. Eskalator turun rusak. Loket check-in bagasi sangat menantang. Harap antre lebih awal karena antrean bisa menjadi berantakan dan terlalu panjang. Secara keseluruhan, terminal feri ini membutuhkan banyak perbaikan. Lain kali saya akan menggunakan Harbour Bay saja.",beranta ohh tolong bongkar bangun baru standar lancong harap hati hati lift berat guna tangga eskalator rusak check tantang harap antre antre jadi beranta terlalu panjang seluruh butuh baik guna
